opco,dbTechnology,hostName,variant,tenatnId,dbType,dbVersion,memberStatus,clusterName,port,instanceType,databseRole,isClustered,patchCompliance,env,physMemory,totalCPUs,dbSizeMB,encAtRest,encTechnique,backupMethod,isExternalFacing,sslEnabled,databaseTier,auditCompliance,isDBaaS,dbaasVendor,lastChangeDate
"MARSH","mongo","gbbed21db14v","Enterprise","mongo.rs.rs0.gbbed21db14v.27017","traditional","4.0.25","Active","rs0","27017","mongo.rs","SECONDARY","Yes","No","prod","16656916480","4","2815.2265625","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbbed21db12v","Enterprise","mongo.rs.rs0.gbbed21db12v.27017","traditional","4.0.25","Active","rs0","27017","mongo.rs","PRIMARY","Yes","No","prod","16656900096","4","2815.2265625","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbbed21db13v","Enterprise","mongo.rs.rs0.gbbed21db13v.27017","traditional","4.0.25","Active","rs0","27017","mongo.rs","SECONDARY","Yes","No","prod","16656916480","4","2815.2265625","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbex25v0049","Enterprise","mongo.rs.rs0.gbex25v0049.27017","traditional","4.0.26","Active","rs0","27017","mongo.rs","SECONDARY","Yes","No","uat","16637521920","4","800.6484375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbex25v0050","Enterprise","mongo.rs.rs0.gbex25v0050.27017","traditional","4.0.26","Active","rs0","27017","mongo.rs","PRIMARY","Yes","No","uat","16637530112","4","800.6484375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbex25v0051","Enterprise","mongo.rs.rs0.gbex25v0051.27017","traditional","4.0.26","Active","rs0","27017","mongo.rs","SECONDARY","Yes","No","uat","16637530112","4","800.6484375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","usdf23v0355","Enterprise","mongo.rs.rep_devqa01.usdf23v0355.27011","traditional","4.2.14","Active","rep_devqa01","27011","mongo.rs","SECONDARY","Yes","No","dev","16637530112","2","2669.80859375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","usdf23v0466","Enterprise","mongo.rs.rep_devqa01.usdf23v0466.27011","traditional","4.2.14","Active","rep_devqa01","27011","mongo.rs","PRIMARY","Yes","No","dev","33547907072","4","2669.80859375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","usdf23v0467","Enterprise","mongo.rs.rep_devqa01.usdf23v0467.27011","traditional","4.2.14","Active","rep_devqa01","27011","mongo.rs","SECONDARY","Yes","No","dev","33547907072","4","2669.80859375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ausy24v0005","Enterprise","mongo.rs.LIS4_QA.ausy24v0005.28021","traditional","4.2.14","Active","LIS4_QA","28021","mongo.rs","PRIMARY","Yes","No","dev","25092194304","2","949.83984375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
